"Year","State","Beverage_Type","Gallons_of_Beverage","Gallons_of_Ethanol","Population_14_Plus","Ethanol_Per_Capita_14_Plus","Decile_14_Plus","Population_21_Plus","Ethanol_Per_Capita_21_Plus","Decile_21_Plus","Data_Source_Type","Time_Varying_ABV","Gallons_of_Ethanol_from_ABV"
"1970","Alabama","Spirits","3863000","1738350","249900","6956","9","202000","8606","9",".","",""
"1970","Alabama","Wine","1412000","225920","249900","904","9","202000","1118","9",".","",""
"1970","Alabama","Beer","33098000","1489410","249900","5960","10","202000","7373","10",".","",""
"1970","Alabama","All Beverages","","3453680","249900","13820","10","202000","17097","10",".","",""
"1970","Alaska","Spirits","945000","425250","20500","20744","1","16500","25773","1",".","",""
"1970","Alaska","Wine","470000","75200","20500","3668","2","16500","4558","2",".","",""
"1970","Alaska","Beer","5372000","241740","20500","11792","5","16500","14651","5",".","",""
"1970","Alaska","All Beverages","","742190","20500","36204","1","16500","44981","1",".","",""
"1970","Arizona","Spirits","2967000","1335150","127200","10496","5","103100","12950","5",".","",""
"1970","Arizona","Wine","2508000","401280","127200","3155","3","103100","3892","3",".","",""
"1970","Arizona","Beer","38604000","1737180","127200","13657","2","103100","16849","2",".","",""
"1970","Arizona","All Beverages","","3473610","127200","27308","4","103100","33692","4",".","",""
"1970","Arkansas","Spirits","1865000","839250","142200","5902","10","116900","7179","10",".","",""
"1970","Arkansas","Wine","1193000","190880","142200","1342","7","116900","1633","8",".","",""
"1970","Arkansas","Beer","22378000","1007010","142200","7082","10","116900","8614","10",".","",""
"1970","Arkansas","All Beverages","","2037140","142200","14326","10","116900","17426","10",".","",""
"1970","California","Spirits","45071000","20281950","1481100","13694","3","1224700","16561","3",".","",""
"1970","California","Wine","58590000","9374400","1481100","6329","1","1224700","7654","1",".","",""
"1970","California","Beer","363645000","16364025","1481100","11049","7","1224700","13362","7",".","",""
"1970","California","All Beverages","","46020375","1481100","31072","2","1224700","37577","2",".","",""
"1970","Colorado","Spirits","4494000","2022300","160800","12576","3","130100","15544","3",".","",""
"1970","Colorado","Wine","3132000","501120","160800","3116","3","130100","3852","3",".","",""
"1970","Colorado","Beer","42145000","1896525","160800","11794","5","130100","14577","5",".","",""
"1970","Colorado","All Beverages","","4419945","160800","27487","4","130100","33973","3",".","",""
"1970","Connecticut","Spirits","7277000","3274650","223800","14632","2","186800","17530","2",".","",""
"1970","Connecticut","Wine","4726000","756160","223800","3379","3","186800","4048","3",".","",""
"1970","Connecticut","Beer","49680000","2235600","223800","9989","8","186800","11968","8",".","",""
"1970","Connecticut","All Beverages","","6266410","223800","28000","4","186800","33546","4",".","",""
"1970","Delaware","Spirits","1521000","684450","39400","17372","1","32200","21256","2",".","",""
"1970","Delaware","Wine","528000","84480","39400","2144","5","32200","2624","5",".","",""
"1970","Delaware","Beer","10263000","461835","39400","11722","6","32200","14343","5",".","",""
"1970","Delaware","All Beverages","","1230765","39400","31238","2","32200","38223","2",".","",""
"1970","District of Columbia","Spirits","5730000","2578500","58100","44380","1","48600","53056","1",".","",""
"1970","District of Columbia","Wine","2976000","476160","58100","8196","1","48600","9798","1",".","",""
"1970","District of Columbia","Beer","17887000","804915","58100","13854","1","48600","16562","2",".","",""
"1970","District of Columbia","All Beverages","","3859575","58100","66430","1","48600","79415","1",".","",""
"1970","Florida","Spirits","17402000","7830900","516600","15159","2","435500","17981","2",".","",""
"1970","Florida","Wine","9539000","1526240","516600","2954","4","435500","3505","4",".","",""
"1970","Florida","Beer","125228000","5635260","516600","10908","7","435500","12940","7",".","",""
"1970","Florida","All Beverages","","14992400","516600","29021","3","435500","34426","3",".","",""
"1970","Georgia","Spirits","7511000","3379950","331200","10205","6","268400","12593","6",".","",""
"1970","Georgia","Wine","2874000","459840","331200","1388","7","268400","1713","7",".","",""
"1970","Georgia","Beer","58089000","2614005","331200","7893","9","268400","9739","9",".","",""
